perceptual_result,group_1,stimuliShown,block,stim1,stim2,response,rt,reward,ID,stim_chosen,typeOfChoice,highChosen,riskChosen,forced,choices,win,correct,risky,trial,trial_cont,trial_id,trial_n,trigger_integer,new_block,trialIndex
overestimator,underestimator,24,1,2,4,0,0.7218842,52,1,2,5,1,NA,0,1,NA,1,NA,61,61,61,61,24,0,61
overestimator,underestimator,23,1,2,3,0,0.8425871,60,1,2,4,1,NA,0,1,NA,1,NA,62,62,62,62,23,0,62
overestimator,underestimator,43,1,4,3,0,1.4637801,47,1,4,6,NA,0,0,1,-1,NA,0,63,63,63,63,43,0,63
overestimator,underestimator,24,1,2,4,0,0.9262606,57,1,2,5,1,NA,0,1,NA,1,NA,64,64,64,64,24,0,64
overestimator,underestimator,13,1,1,3,0,0.829316,47,1,1,2,1,NA,0,1,NA,1,NA,65,65,65,65,13,0,65
overestimator,underestimator,43,1,4,3,0,1.1982517,36,1,4,6,NA,0,0,1,-1,NA,0,66,66,66,66,43,0,66
overestimator,underestimator,12,1,1,2,0,1.0528156,91,1,1,1,NA,1,0,1,1,NA,1,67,67,67,67,12,0,67
overestimator,underestimator,42,1,4,2,1,1.0214802,59,1,2,5,1,NA,0,0,NA,1,NA,68,68,68,68,42,0,68
overestimator,underestimator,14,1,1,4,0,0.6539449,83,1,1,3,1,NA,0,1,NA,1,NA,69,69,69,69,14,0,69
overestimator,underestimator,12,1,1,2,0,0.6280077,50,1,1,1,NA,1,0,1,1,NA,1,70,70,70,70,12,0,70
overestimator,underestimator,12,1,1,2,0,0.4783943,78,1,1,1,NA,1,0,1,1,NA,1,71,71,71,71,12,0,71
overestimator,underestimator,41,1,4,1,1,0.6390975,73,1,1,3,1,NA,0,0,NA,1,NA,72,72,72,72,41,0,72
overestimator,underestimator,43,1,4,3,0,1.3192807,52,1,4,6,NA,0,0,1,-1,NA,0,73,73,73,73,43,0,73
overestimator,underestimator,21,1,2,1,1,0.6417917,76,1,1,1,NA,1,0,0,1,NA,1,74,74,74,74,21,0,74
overestimator,underestimator,14,1,1,4,0,0.642546,70,1,1,3,1,NA,0,1,NA,1,NA,75,75,75,75,14,0,75
overestimator,underestimator,23,1,2,3,0,1.2569858,65,1,2,4,1,NA,0,1,NA,1,NA,76,76,76,76,23,0,76
overestimator,underestimator,31,1,3,1,1,0.8785051,30,1,1,2,1,NA,0,0,NA,1,NA,77,77,77,77,31,0,77
overestimator,underestimator,24,1,2,4,0,1.2537832,55,1,2,5,1,NA,0,1,NA,1,NA,78,78,78,78,24,0,78
overestimator,underestimator,31,1,3,1,1,0.548802,54,1,1,2,1,NA,0,0,NA,1,NA,79,79,79,79,31,0,79
overestimator,underestimator,41,1,4,1,1,0.5703513,90,1,1,3,1,NA,0,0,NA,1,NA,80,80,80,80,41,0,80
overestimator,underestimator,24,1,2,4,0,0.7138653,63,1,2,5,1,NA,0,1,NA,1,NA,81,81,81,81,24,0,81
overestimator,underestimator,41,1,4,1,1,0.4956996,88,1,1,3,1,NA,0,0,NA,1,NA,82,82,82,82,41,0,82
overestimator,underestimator,41,1,4,1,1,0.6054255,64,1,1,3,1,NA,0,0,NA,1,NA,83,83,83,83,41,0,83
overestimator,underestimator,13,1,1,3,0,0.8853673,27,1,1,2,1,NA,0,1,NA,1,NA,84,84,84,84,13,0,84
overestimator,underestimator,12,1,1,2,0,0.6838652,55,1,1,1,NA,1,0,1,1,NA,1,85,85,85,85,12,0,85
overestimator,underestimator,31,1,3,1,1,0.5428181,66,1,1,2,1,NA,0,0,NA,1,NA,86,86,86,86,31,0,86
overestimator,underestimator,23,1,2,3,1,0.853652,57,1,3,4,0,NA,0,0,NA,0,NA,88,88,88,88,23,0,88
overestimator,underestimator,13,1,1,3,0,1.033392,60,1,1,2,1,NA,0,1,NA,1,NA,89,89,89,89,13,0,89
overestimator,underestimator,34,1,3,4,1,1.345618,33,1,4,6,NA,0,0,0,-1,NA,0,90,90,90,90,34,0,90
overestimator,underestimator,32,1,3,2,0,1.2420642,56,1,3,4,0,NA,0,1,NA,0,NA,91,91,91,91,32,0,91
overestimator,underestimator,21,1,2,1,1,0.8865238,83,1,1,1,NA,1,0,0,1,NA,1,92,92,92,92,21,0,92
overestimator,underestimator,34,1,3,4,0,1.169815,20,1,3,6,NA,1,0,1,-1,NA,1,93,93,93,93,34,0,93
overestimator,underestimator,23,1,2,3,0,0.9665508,48,1,2,4,1,NA,0,1,NA,1,NA,94,94,94,94,23,0,94
overestimator,underestimator,13,1,1,3,0,0.8692212,72,1,1,2,1,NA,0,1,NA,1,NA,95,95,95,95,13,0,95
overestimator,underestimator,42,1,4,2,1,0.8625346,55,1,2,5,1,NA,0,0,NA,1,NA,96,96,96,96,42,0,96
overestimator,underestimator,43,1,4,3,1,1.391733,25,1,3,6,NA,1,0,0,-1,NA,1,97,97,97,97,43,0,97
overestimator,underestimator,23,1,2,3,0,0.7735356,62,1,2,4,1,NA,0,1,NA,1,NA,98,98,98,98,23,0,98
overestimator,underestimator,12,1,1,2,0,0.9193007,41,1,1,1,NA,1,0,1,1,NA,1,99,99,99,99,12,0,99
overestimator,underestimator,13,1,1,3,0,0.6297672,57,1,1,2,1,NA,0,1,NA,1,NA,100,100,100,100,13,0,100
overestimator,underestimator,32,1,3,2,1,0.9460445,50,1,2,4,1,NA,0,0,NA,1,NA,101,101,101,101,32,0,101
overestimator,underestimator,21,1,2,1,1,0.5374578,84,1,1,1,NA,1,0,0,1,NA,1,102,102,102,102,21,0,102
overestimator,underestimator,34,1,3,4,1,1.4496764,41,1,4,6,NA,0,0,0,-1,NA,0,103,103,103,103,34,0,103
overestimator,underestimator,34,1,3,4,1,0.8541636,36,1,4,6,NA,0,0,0,-1,NA,0,104,104,104,104,34,0,104
overestimator,underestimator,31,1,3,1,1,0.9622808,75,1,1,2,1,NA,0,0,NA,1,NA,105,105,105,105,31,0,105
overestimator,underestimator,14,1,1,4,0,0.6787034,62,1,1,3,1,NA,0,1,NA,1,NA,106,106,106,106,14,0,106
overestimator,underestimator,13,1,1,3,0,0.5986626,64,1,1,2,1,NA,0,1,NA,1,NA,107,107,107,107,13,0,107
overestimator,underestimator,23,1,2,3,0,1.3382997,51,1,2,4,1,NA,0,1,NA,1,NA,108,108,108,108,23,0,108
overestimator,underestimator,14,1,1,4,0,0.7757294,91,1,1,3,1,NA,0,1,NA,1,NA,109,109,109,109,14,0,109
overestimator,underestimator,32,1,3,2,1,1.1698102,55,1,2,4,1,NA,0,0,NA,1,NA,110,110,110,110,32,0,110
overestimator,underestimator,31,1,3,1,1,0.8565245,49,1,1,2,1,NA,0,0,NA,1,NA,111,111,111,111,31,0,111
overestimator,underestimator,12,1,1,2,0,0.6236393,75,1,1,1,NA,1,0,1,1,NA,1,112,112,112,112,12,0,112
overestimator,underestimator,23,1,2,3,0,1.2107402,60,1,2,4,1,NA,0,1,NA,1,NA,113,113,113,113,23,0,113
overestimator,underestimator,43,1,4,3,0,1.1330066,40,1,4,6,NA,0,0,1,-1,NA,0,114,114,114,114,43,0,114
overestimator,underestimator,41,1,4,1,1,0.5157945,60,1,1,3,1,NA,0,0,NA,1,NA,115,115,115,115,41,0,115
overestimator,underestimator,23,1,2,3,0,0.9365388,59,1,2,4,1,NA,0,1,NA,1,NA,116,116,116,116,23,0,116
overestimator,underestimator,31,1,3,1,1,0.5658825,79,1,1,2,1,NA,0,0,NA,1,NA,117,117,117,117,31,0,117
overestimator,underestimator,14,1,1,4,0,0.4772042,61,1,1,3,1,NA,0,1,NA,1,NA,118,118,118,118,14,0,118
overestimator,underestimator,14,1,1,4,0,0.6277713,88,1,1,3,1,NA,0,1,NA,1,NA,119,119,119,119,14,0,119
overestimator,underestimator,31,1,3,1,1,0.6392262,81,1,1,2,1,NA,0,0,NA,1,NA,120,120,120,120,31,0,120
overestimator,underestimator,14,1,1,4,0,0.4484522,97,1,1,3,1,NA,0,1,NA,1,NA,121,121,121,121,14,0,121
overestimator,underestimator,12,1,1,2,0,0.40268929999999997,53,1,1,1,NA,1,0,1,1,NA,1,122,122,122,122,12,0,122
overestimator,underestimator,42,1,4,2,1,1.1307104,58,1,2,5,1,NA,0,0,NA,1,NA,123,123,123,123,42,0,123
overestimator,underestimator,12,1,1,2,0,0.4538754,80,1,1,1,NA,1,0,1,1,NA,1,124,124,124,124,12,0,124
overestimator,underestimator,12,1,1,2,0,0.556608,45,1,1,1,NA,1,0,1,1,NA,1,125,125,125,125,12,0,125
overestimator,underestimator,21,1,2,1,1,0.416717,70,1,1,1,NA,1,0,0,1,NA,1,126,126,126,126,21,0,126
overestimator,underestimator,34,1,3,4,1,1.2118769,36,1,4,6,NA,0,0,0,-1,NA,0,127,127,127,127,34,0,127
overestimator,underestimator,13,1,1,3,0,0.5538585,81,1,1,2,1,NA,0,1,NA,1,NA,128,128,128,128,13,0,128
overestimator,underestimator,42,1,4,2,1,1.4249596,56,1,2,5,1,NA,0,0,NA,1,NA,129,129,129,129,42,0,129
overestimator,underestimator,24,1,2,4,0,1.2401356,63,1,2,5,1,NA,0,1,NA,1,NA,130,130,130,130,24,0,130
overestimator,underestimator,21,1,2,1,1,0.4684504,71,1,1,1,NA,1,0,0,1,NA,1,131,131,131,131,21,0,131
overestimator,underestimator,31,1,3,1,1,0.428874,73,1,1,2,1,NA,0,0,NA,1,NA,132,132,132,132,31,0,132
overestimator,underestimator,23,1,2,3,0,0.7168911,54,1,2,4,1,NA,0,1,NA,1,NA,133,133,133,133,23,0,133
overestimator,underestimator,32,1,3,2,1,0.937037,56,1,2,4,1,NA,0,0,NA,1,NA,134,134,134,134,32,0,134
overestimator,underestimator,24,1,2,4,0,0.8523265,50,1,2,5,1,NA,0,1,NA,1,NA,135,135,135,135,24,0,135
overestimator,underestimator,13,1,1,3,0,0.9477853,97,1,1,2,1,NA,0,1,NA,1,NA,136,136,136,136,13,0,136
overestimator,underestimator,23,1,2,3,0,0.8085451,57,1,2,4,1,NA,0,1,NA,1,NA,137,137,137,137,23,0,137
overestimator,underestimator,21,1,2,1,1,0.496857,75,1,1,1,NA,1,0,0,1,NA,1,138,138,138,138,21,0,138
overestimator,underestimator,31,1,3,1,1,0.6385987,79,1,1,2,1,NA,0,0,NA,1,NA,139,139,139,139,31,0,139
overestimator,underestimator,32,1,3,2,1,0.9619695,54,1,2,4,1,NA,0,0,NA,1,NA,140,140,140,140,32,0,140
overestimator,underestimator,21,1,2,1,1,0.8286851,54,1,1,1,NA,1,0,0,1,NA,1,141,141,141,141,21,0,141
overestimator,underestimator,21,1,2,1,1,0.4355093,59,1,1,1,NA,1,0,0,1,NA,1,142,142,142,142,21,0,142
overestimator,underestimator,31,1,3,1,1,0.4626429,66,1,1,2,1,NA,0,0,NA,1,NA,143,143,143,143,31,0,143
overestimator,underestimator,41,1,4,1,1,0.4508207,77,1,1,3,1,NA,0,0,NA,1,NA,144,144,144,144,41,0,144
overestimator,underestimator,23,1,2,3,0,0.7181179,56,1,2,4,1,NA,0,1,NA,1,NA,145,145,145,145,23,0,145
overestimator,underestimator,42,1,4,2,1,0.6375947,52,1,2,5,1,NA,0,0,NA,1,NA,146,146,146,146,42,0,146
overestimator,underestimator,24,1,2,4,0,0.7841353,57,1,2,5,1,NA,0,1,NA,1,NA,147,147,147,147,24,0,147
overestimator,underestimator,21,1,2,1,1,0.4514002,98,1,1,1,NA,1,0,0,1,NA,1,148,148,148,148,21,0,148
overestimator,underestimator,41,1,4,1,1,0.4522581,81,1,1,3,1,NA,0,0,NA,1,NA,149,149,149,149,41,0,149
overestimator,underestimator,13,1,1,3,0,0.4691007,57,1,1,2,1,NA,0,1,NA,1,NA,150,150,150,150,13,0,150
overestimator,underestimator,13,1,1,3,0,0.4779963,80,1,1,2,1,NA,0,1,NA,1,NA,151,151,151,151,13,0,151
overestimator,underestimator,31,1,3,1,1,0.3964222,70,1,1,2,1,NA,0,0,NA,1,NA,152,152,152,152,31,0,152
overestimator,underestimator,24,1,2,4,0,1.2123194,55,1,2,5,1,NA,0,1,NA,1,NA,153,153,153,153,24,0,153
overestimator,underestimator,43,1,4,3,0,0.9094059,39,1,4,6,NA,0,0,1,-1,NA,0,154,154,154,154,43,0,154
overestimator,underestimator,43,1,4,3,0,0.7590502,34,1,4,6,NA,0,0,1,-1,NA,0,155,155,155,155,43,0,155
overestimator,underestimator,42,1,4,2,1,1.1278875,60,1,2,5,1,NA,0,0,NA,1,NA,156,156,156,156,42,0,156
overestimator,underestimator,21,1,2,1,1,0.7534981,67,1,1,1,NA,1,0,0,1,NA,1,157,157,157,157,21,0,157
overestimator,underestimator,13,1,1,3,0,0.6611523,87,1,1,2,1,NA,0,1,NA,1,NA,158,158,158,158,13,0,158
overestimator,underestimator,14,1,1,4,0,0.6253685,49,1,1,3,1,NA,0,1,NA,1,NA,159,159,159,159,14,0,159
overestimator,underestimator,43,1,4,3,0,1.1012857,37,1,4,6,NA,0,0,1,-1,NA,0,160,160,160,160,43,0,160
overestimator,underestimator,42,1,4,2,1,0.6034524,63,1,2,5,1,NA,0,0,NA,1,NA,161,161,161,161,42,0,161
overestimator,underestimator,34,1,3,4,1,0.808742,42,1,4,6,NA,0,0,0,-1,NA,0,162,162,162,162,34,0,162
overestimator,underestimator,41,1,4,1,1,0.6923076,57,1,1,3,1,NA,0,0,NA,1,NA,163,163,163,163,41,0,163
overestimator,underestimator,43,1,4,3,0,1.0516589,38,1,4,6,NA,0,0,1,-1,NA,0,164,164,164,164,43,0,164
overestimator,underestimator,23,1,2,3,0,0.8616892,58,1,2,4,1,NA,0,1,NA,1,NA,165,165,165,165,23,0,165
overestimator,underestimator,42,1,4,2,1,0.7524287,55,1,2,5,1,NA,0,0,NA,1,NA,166,166,166,166,42,0,166
overestimator,underestimator,32,1,3,2,1,0.8346691,61,1,2,4,1,NA,0,0,NA,1,NA,167,167,167,167,32,0,167
overestimator,underestimator,42,1,4,2,1,0.8335996,59,1,2,5,1,NA,0,0,NA,1,NA,168,168,168,168,42,0,168
overestimator,underestimator,23,1,2,3,0,0.6804495,49,1,2,4,1,NA,0,1,NA,1,NA,169,169,169,169,23,0,169
overestimator,underestimator,12,1,1,2,1,0.6795903,61,1,2,1,NA,0,0,0,1,NA,0,170,170,170,170,12,0,170
overestimator,underestimator,41,1,4,1,1,0.6503872,66,1,1,3,1,NA,0,0,NA,1,NA,171,171,171,171,41,0,171
overestimator,underestimator,24,1,2,4,0,0.7146225,54,1,2,5,1,NA,0,1,NA,1,NA,173,173,173,173,24,0,173
overestimator,underestimator,41,1,4,1,1,0.6001205,80,1,1,3,1,NA,0,0,NA,1,NA,174,174,174,174,41,0,174
overestimator,underestimator,24,1,2,4,0,0.6823675,49,1,2,5,1,NA,0,1,NA,1,NA,175,175,175,175,24,0,175
overestimator,underestimator,32,1,3,2,1,0.9040577,50,1,2,4,1,NA,0,0,NA,1,NA,176,176,176,176,32,0,176
overestimator,underestimator,34,1,3,4,1,0.9504407,40,1,4,6,NA,0,0,0,-1,NA,0,177,177,177,177,34,0,177
overestimator,underestimator,32,1,3,2,1,0.8411113,66,1,2,4,1,NA,0,0,NA,1,NA,178,178,178,178,32,0,178
overestimator,underestimator,43,1,4,3,0,0.8827439,48,1,4,6,NA,0,0,1,-1,NA,0,179,179,179,179,43,0,179
overestimator,underestimator,23,1,2,3,0,0.8588212,59,1,2,4,1,NA,0,1,NA,1,NA,180,180,180,180,23,0,180
overestimator,underestimator,32,2,3,2,0,1.0926783,52,1,3,4,0,NA,0,1,NA,0,NA,2,2,182,2,32,1,2
overestimator,underestimator,12,2,1,2,0,1.2793437,72,1,1,1,NA,1,0,1,1,NA,1,3,3,183,3,12,0,3
overestimator,underestimator,14,2,1,4,1,1.3153202,46,1,4,3,0,NA,0,0,NA,0,NA,4,4,184,4,14,0,4
overestimator,underestimator,31,2,3,1,0,1.1169315,33,1,3,2,0,NA,0,1,NA,0,NA,6,6,186,6,31,0,6
overestimator,underestimator,42,2,4,2,0,1.2537472,44,1,4,5,0,NA,0,1,NA,0,NA,7,7,187,7,42,0,7
overestimator,underestimator,12,2,1,2,0,1.194542,49,1,1,1,NA,1,0,1,1,NA,1,8,8,188,8,12,0,8
overestimator,underestimator,13,2,1,3,1,0.6924689,39,1,3,2,0,NA,0,0,NA,0,NA,9,9,189,9,13,0,9
overestimator,underestimator,32,2,3,2,0,1.0950318000000001,46,1,3,4,0,NA,0,1,NA,0,NA,10,10,190,10,32,0,10
overestimator,underestimator,34,2,3,4,0,0.5005245,65,1,3,6,NA,1,0,1,-1,NA,1,11,11,191,11,34,0,11
overestimator,underestimator,34,2,3,4,0,0.8263975,73,1,3,6,NA,1,0,1,-1,NA,1,13,13,193,13,34,0,13
overestimator,underestimator,21,2,2,1,0,1.4237354,66,1,2,1,NA,0,0,1,1,NA,0,14,14,194,14,21,0,14
overestimator,underestimator,34,2,3,4,0,1.0224094,43,1,3,6,NA,1,0,1,-1,NA,1,15,15,195,15,34,0,15
overestimator,underestimator,42,2,4,2,0,0.9055883,28,1,4,5,0,NA,0,1,NA,0,NA,16,16,196,16,42,0,16
overestimator,underestimator,24,2,2,4,0,1.3604197,62,1,2,5,1,NA,0,1,NA,1,NA,17,17,197,17,24,0,17
overestimator,underestimator,42,2,4,2,1,1.3248335,66,1,2,5,1,NA,0,0,NA,1,NA,18,18,198,18,42,0,18
overestimator,underestimator,32,2,3,2,1,1.1643354,54,1,2,4,1,NA,0,0,NA,1,NA,19,19,199,19,32,0,19
overestimator,underestimator,23,2,2,3,1,1.4198213,43,1,3,4,0,NA,0,0,NA,0,NA,20,20,200,20,23,0,20
overestimator,underestimator,24,2,2,4,0,1.0916806,54,1,2,5,1,NA,0,1,NA,1,NA,21,21,201,21,24,0,21
overestimator,underestimator,24,2,2,4,0,1.0859155,60,1,2,5,1,NA,0,1,NA,1,NA,22,22,202,22,24,0,22
overestimator,underestimator,24,2,2,4,0,0.6120797,68,1,2,5,1,NA,0,1,NA,1,NA,23,23,203,23,24,0,23
overestimator,underestimator,12,2,1,2,0,1.3937656,81,1,1,1,NA,1,0,1,1,NA,1,24,24,204,24,12,0,24
overestimator,underestimator,24,2,2,4,0,1.0755762,61,1,2,5,1,NA,0,1,NA,1,NA,25,25,205,25,24,0,25
overestimator,underestimator,14,2,1,4,0,1.1192056,47,1,1,3,1,NA,0,1,NA,1,NA,27,27,207,27,14,0,27
overestimator,underestimator,41,2,4,1,1,0.7316034,65,1,1,3,1,NA,0,0,NA,1,NA,28,28,208,28,41,0,28
overestimator,underestimator,24,2,2,4,0,0.8416239,52,1,2,5,1,NA,0,1,NA,1,NA,29,29,209,29,24,0,29
overestimator,underestimator,31,2,3,1,1,0.8288265,62,1,1,2,1,NA,0,0,NA,1,NA,30,30,210,30,31,0,30
overestimator,underestimator,14,2,1,4,0,0.4787831,75,1,1,3,1,NA,0,1,NA,1,NA,31,31,211,31,14,0,31
overestimator,underestimator,21,2,2,1,1,0.7552154,75,1,1,1,NA,1,0,0,1,NA,1,32,32,212,32,21,0,32
overestimator,underestimator,13,2,1,3,0,0.7081337,67,1,1,2,1,NA,0,1,NA,1,NA,33,33,213,33,13,0,33
overestimator,underestimator,41,2,4,1,1,1.2245029,27,1,1,3,1,NA,0,0,NA,1,NA,35,35,215,35,41,0,35
overestimator,underestimator,31,2,3,1,1,1.099944,74,1,1,2,1,NA,0,0,NA,1,NA,36,36,216,36,31,0,36
overestimator,underestimator,41,2,4,1,1,0.6032081,84,1,1,3,1,NA,0,0,NA,1,NA,37,37,217,37,41,0,37
overestimator,underestimator,23,2,2,3,0,1.3056033,63,1,2,4,1,NA,0,1,NA,1,NA,38,38,218,38,23,0,38
overestimator,underestimator,23,2,2,3,0,0.6390868,62,1,2,4,1,NA,0,1,NA,1,NA,39,39,219,39,23,0,39
overestimator,underestimator,32,2,3,2,1,0.8131246,70,1,2,4,1,NA,0,0,NA,1,NA,40,40,220,40,32,0,40
overestimator,underestimator,12,2,1,2,1,0.4870325,67,1,2,1,NA,0,0,0,1,NA,0,41,41,221,41,12,0,41
overestimator,underestimator,31,2,3,1,1,1.0155351,71,1,1,2,1,NA,0,0,NA,1,NA,42,42,222,42,31,0,42
overestimator,underestimator,21,2,2,1,0,1.1036704,68,1,2,1,NA,0,0,1,1,NA,0,43,43,223,43,21,0,43
overestimator,underestimator,23,2,2,3,0,0.7671545,61,1,2,4,1,NA,0,1,NA,1,NA,44,44,224,44,23,0,44
overestimator,underestimator,23,2,2,3,0,0.655714,63,1,2,4,1,NA,0,1,NA,1,NA,45,45,225,45,23,0,45
overestimator,underestimator,12,2,1,2,1,0.8631631,65,1,2,1,NA,0,0,0,1,NA,0,46,46,226,46,12,0,46
overestimator,underestimator,12,2,1,2,1,0.9949645,51,1,2,1,NA,0,0,0,1,NA,0,48,48,228,48,12,0,48
